,open,high,low,close,adjclose,volume,ticker
2010-12-15,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,21153.0,DOT
2010-12-16,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,64500.0,DOT
2010-12-17,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,31359.0,DOT
2010-12-20,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,DOT
2010-12-21,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,DOT
2010-12-22,0.10000000149011612,0.11999999731779099,0.10000000149011612,0.11999999731779099,0.11999999731779099,130634.0,DOT
2010-12-23,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,1480.0,DOT
2010-12-27,0.4009999930858612,0.4009999930858612,0.4009999930858612,0.4009999930858612,0.4009999930858612,0.0,DOT
2010-12-28,0.4020000100135803,0.4020000100135803,0.4020000100135803,0.4020000100135803,0.4020000100135803,0.0,DOT
2010-12-29,0.40799999237060547,0.40799999237060547,0.40799999237060547,0.40799999237060547,0.40799999237060547,0.0,DOT
2010-12-30,0.125,0.125,0.125,0.125,0.125,3000.0,DOT
2010-12-31,,,,,,,DOT
2011-01-03,0.4169999957084656,0.4169999957084656,0.4169999957084656,0.4169999957084656,0.4169999957084656,0.0,DOT
2011-01-04,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,3500.0,DOT
2011-01-05,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,3384.0,DOT
2011-01-06,0.4059999883174896,0.4059999883174896,0.4059999883174896,0.4059999883174896,0.4059999883174896,0.0,DOT
2011-01-07,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,120000.0,DOT
2011-01-10,0.41999998688697815,0.41999998688697815,0.41999998688697815,0.41999998688697815,0.41999998688697815,0.0,DOT
2011-01-11,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,13846.0,DOT
2011-01-12,0.4180000126361847,0.4180000126361847,0.41600000858306885,0.41600000858306885,0.41600000858306885,0.0,DOT
2011-01-13,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,176500.0,DOT
2011-01-14,0.10000000149011612,0.10999999940395355,0.07999999821186066,0.07999999821186066,0.07999999821186066,17638.0,DOT
2011-01-18,0.4129999876022339,0.4129999876022339,0.4129999876022339,0.4129999876022339,0.4129999876022339,0.0,DOT
2011-01-19,0.4059999883174896,0.4059999883174896,0.4059999883174896,0.4059999883174896,0.4059999883174896,0.0,DOT
2011-01-20,0.4309999942779541,0.4309999942779541,0.4309999942779541,0.4309999942779541,0.4309999942779541,0.0,DOT
2011-01-21,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,1057.0,DOT
2011-01-24,0.39399999380111694,0.39399999380111694,0.39399999380111694,0.39399999380111694,0.39399999380111694,0.0,DOT
2011-01-25,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,2644.0,DOT
2011-01-26,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,1500.0,DOT
2011-01-27,0.3919999897480011,0.3919999897480011,0.3919999897480011,0.3919999897480011,0.3919999897480011,0.0,DOT
2011-01-28,0.3970000147819519,0.3970000147819519,0.3970000147819519,0.3970000147819519,0.3970000147819519,0.0,DOT
2011-01-31,0.4059999883174896,0.4059999883174896,0.4009999930858612,0.4009999930858612,0.4009999930858612,0.0,DOT
2011-02-01,0.40299999713897705,0.40299999713897705,0.40299999713897705,0.40299999713897705,0.40299999713897705,0.0,DOT
2011-02-02,0.09000000357627869,0.09000000357627869,0.07999999821186066,0.07999999821186066,0.07999999821186066,411000.0,DOT
2011-02-03,0.07500000298023224,0.07500000298023224,0.07500000298023224,0.07500000298023224,0.07500000298023224,2009.0,DOT
2011-02-04,0.4050000011920929,0.4050000011920929,0.4050000011920929,0.4050000011920929,0.4050000011920929,0.0,DOT
2011-02-07,0.4090000092983246,0.4090000092983246,0.4090000092983246,0.4090000092983246,0.4090000092983246,0.0,DOT
2011-02-08,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,6000.0,DOT
2011-02-09,0.40400001406669617,0.40400001406669617,0.40400001406669617,0.40400001406669617,0.40400001406669617,0.0,DOT
2011-02-10,0.07000000029802322,0.07999999821186066,0.07000000029802322,0.07999999821186066,0.07999999821186066,15361.0,DOT
2011-02-11,0.4059999883174896,0.4059999883174896,0.4059999883174896,0.4059999883174896,0.4059999883174896,0.0,DOT
2011-02-14,0.07500000298023224,0.07500000298023224,0.07500000298023224,0.07500000298023224,0.07500000298023224,5000.0,DOT
2011-02-15,0.07500000298023224,0.07500000298023224,0.07500000298023224,0.07500000298023224,0.07500000298023224,4000.0,DOT
2011-02-16,0.40799999237060547,0.40799999237060547,0.40700000524520874,0.40700000524520874,0.40700000524520874,0.0,DOT
2011-02-17,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,1798.0,DOT
2011-02-18,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,36692.0,DOT
2011-02-22,0.07000000029802322,0.07000000029802322,0.05000000074505806,0.05000000074505806,0.05000000074505806,300405.0,DOT
2011-02-23,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.0,DOT
2011-02-24,0.05999999865889549,0.06499999761581421,0.05999999865889549,0.06499999761581421,0.06499999761581421,39374.0,DOT
2011-02-25,0.07000000029802322,0.07500000298023224,0.07000000029802322,0.07500000298023224,0.07500000298023224,57500.0,DOT
2011-02-28,0.07500000298023224,0.07500000298023224,0.07500000298023224,0.07500000298023224,0.07500000298023224,5000.0,DOT
2011-03-01,0.40299999713897705,0.40299999713897705,0.40299999713897705,0.40299999713897705,0.40299999713897705,0.0,DOT
2011-03-02,0.4090000092983246,0.4090000092983246,0.4090000092983246,0.4090000092983246,0.4090000092983246,0.0,DOT
2011-03-03,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,1480.0,DOT
2011-03-04,0.07500000298023224,0.07500000298023224,0.07000000029802322,0.07000000029802322,0.07000000029802322,13528.0,DOT
2011-03-07,0.07500000298023224,0.07500000298023224,0.07500000298023224,0.07500000298023224,0.07500000298023224,53000.0,DOT
2011-03-08,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,4738.0,DOT
2011-03-09,0.4050000011920929,0.4050000011920929,0.4050000011920929,0.4050000011920929,0.4050000011920929,0.0,DOT
2011-03-10,0.4050000011920929,0.4050000011920929,0.4050000011920929,0.4050000011920929,0.4050000011920929,0.0,DOT
2011-03-11,0.39899998903274536,0.4000000059604645,0.39899998903274536,0.4000000059604645,0.4000000059604645,0.0,DOT
2011-03-14,0.39399999380111694,0.3959999978542328,0.39399999380111694,0.3959999978542328,0.3959999978542328,0.0,DOT
2011-03-15,0.38100001215934753,0.38100001215934753,0.38100001215934753,0.38100001215934753,0.38100001215934753,0.0,DOT
2011-03-16,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,52577.0,DOT
2011-03-17,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,1200.0,DOT
2011-03-18,0.06499999761581421,0.06499999761581421,0.05999999865889549,0.05999999865889549,0.05999999865889549,27174.0,DOT
2011-03-21,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,133000.0,DOT
2011-03-22,0.054999999701976776,0.06499999761581421,0.05000000074505806,0.06499999761581421,0.06499999761581421,138223.0,DOT
2011-03-23,0.06499999761581421,0.06499999761581421,0.06499999761581421,0.06499999761581421,0.06499999761581421,12174.0,DOT
2011-03-24,0.3930000066757202,0.3930000066757202,0.3930000066757202,0.3930000066757202,0.3930000066757202,0.0,DOT
2011-03-25,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.0,DOT
2011-03-28,0.3959999978542328,0.3959999978542328,0.3959999978542328,0.3959999978542328,0.3959999978542328,0.0,DOT
2011-03-29,0.39500001072883606,0.39500001072883606,0.39500001072883606,0.39500001072883606,0.39500001072883606,0.0,DOT
2011-03-30,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,11300.0,DOT
2011-03-31,0.40400001406669617,0.40400001406669617,0.40400001406669617,0.40400001406669617,0.40400001406669617,0.0,DOT
2011-04-01,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,1000.0,DOT
2011-04-04,0.4009999930858612,0.4050000011920929,0.4009999930858612,0.4050000011920929,0.4050000011920929,0.0,DOT
2011-04-05,0.40700000524520874,0.40700000524520874,0.40700000524520874,0.40700000524520874,0.40700000524520874,0.0,DOT
2011-04-06,0.41100001335144043,0.41100001335144043,0.4099999964237213,0.4099999964237213,0.4099999964237213,0.0,DOT
2011-04-07,0.06499999761581421,0.06499999761581421,0.06499999761581421,0.06499999761581421,0.06499999761581421,7140.0,DOT
2011-04-08,0.06499999761581421,0.06499999761581421,0.06499999761581421,0.06499999761581421,0.06499999761581421,4000.0,DOT
2011-04-11,0.4169999957084656,0.4169999957084656,0.4169999957084656,0.4169999957084656,0.4169999957084656,0.0,DOT
2011-04-12,0.06499999761581421,0.06499999761581421,0.06499999761581421,0.06499999761581421,0.06499999761581421,17970.0,DOT
2011-04-13,0.4129999876022339,0.4129999876022339,0.4129999876022339,0.4129999876022339,0.4129999876022339,0.0,DOT
2011-04-14,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,5000.0,DOT
2011-04-15,0.4180000126361847,0.4180000126361847,0.4169999957084656,0.4169999957084656,0.4169999957084656,0.0,DOT
2011-04-18,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,1057.0,DOT
2011-04-19,0.06499999761581421,0.06499999761581421,0.06499999761581421,0.06499999761581421,0.06499999761581421,2000.0,DOT
2011-04-20,0.06499999761581421,0.06499999761581421,0.06499999761581421,0.06499999761581421,0.06499999761581421,5100.0,DOT
2011-04-21,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,2200.0,DOT
2011-04-25,,,,,,,DOT
2011-04-26,0.414000004529953,0.414000004529953,0.414000004529953,0.414000004529953,0.414000004529953,0.0,DOT
2011-04-27,0.4169999957084656,0.4169999957084656,0.4169999957084656,0.4169999957084656,0.4169999957084656,0.0,DOT
2011-04-28,0.05000000074505806,0.05000000074505806,0.03999999910593033,0.04500000178813934,0.04500000178813934,912000.0,DOT
2011-04-29,0.4059999883174896,0.4059999883174896,0.4050000011920929,0.4050000011920929,0.4050000011920929,0.0,DOT
2011-05-02,0.4090000092983246,0.4129999876022339,0.4090000092983246,0.4129999876022339,0.4129999876022339,0.0,DOT
2011-05-03,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,554000.0,DOT
2011-05-04,0.04500000178813934,0.04500000178813934,0.04500000178813934,0.04500000178813934,0.04500000178813934,50000.0,DOT
2011-05-05,0.4009999930858612,0.40299999713897705,0.4009999930858612,0.40299999713897705,0.40299999713897705,0.0,DOT
2011-05-06,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,50000.0,DOT
2011-05-09,0.04500000178813934,0.04500000178813934,0.04500000178813934,0.04500000178813934,0.04500000178813934,19500.0,DOT
2011-05-10,0.41600000858306885,0.41999998688697815,0.41600000858306885,0.41999998688697815,0.41999998688697815,0.0,DOT
2011-05-11,0.04500000178813934,0.04500000178813934,0.04500000178813934,0.04500000178813934,0.04500000178813934,170000.0,DOT
2011-05-12,0.4180000126361847,0.41999998688697815,0.4180000126361847,0.41999998688697815,0.41999998688697815,0.0,DOT
2011-05-13,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,32787.0,DOT
2011-05-16,0.04500000178813934,0.04500000178813934,0.04500000178813934,0.04500000178813934,0.04500000178813934,21000.0,DOT
2011-05-17,0.4519999921321869,0.4519999921321869,0.4169999957084656,0.4169999957084656,0.4169999957084656,0.0,DOT
2011-05-18,0.41499999165534973,0.41999998688697815,0.41499999165534973,0.41999998688697815,0.41999998688697815,0.0,DOT
2011-05-19,0.421999990940094,0.421999990940094,0.421999990940094,0.421999990940094,0.421999990940094,0.0,DOT
2011-05-20,0.04500000178813934,0.04500000178813934,0.04500000178813934,0.04500000178813934,0.04500000178813934,10000.0,DOT
2011-05-23,0.4269999861717224,0.4269999861717224,0.4269999861717224,0.4269999861717224,0.4269999861717224,0.0,DOT
2011-05-24,0.4350000023841858,0.4350000023841858,0.4350000023841858,0.4350000023841858,0.4350000023841858,0.0,DOT
2011-05-25,0.4339999854564667,0.4339999854564667,0.4339999854564667,0.4339999854564667,0.4339999854564667,0.0,DOT
